Id,Label
485,"Benjamin WEST - William Penn's Treaty with the Indians"
486,"Rogier VAN DER WEYDEN - The Descent from the Cross"
487,"James Abbot McNeill WHISTLER - Symphony in White No. 2: Little White Girl"
488,"Sir David WILKIE - The Letter of Introduction"
489,"Richard WILSON - View in Windsor Great Park"
490,"Konrad WITZ - The Miraculous Draught of Fishes"
491,"Grant WOOD - American Gothic"
492,"Joseph WRIGHT OF DERBY - The Forge"
493,"Andrew WYETH - Christina's World"
494,"Jack Butler YEATS - The Basin in Which Pilate Washed his Hands"
495,"Johann ZOFFANY - Charles Towneley's Library in Park Street"
496,"Anders ZORN - Dagmar"
497,"Francesco ZUCCARELLI - Landscape with the Rape of Europa"
498,"Francisco de ZURBARÁN - Saint Francis of Assisi"
499,"Patrick HERON - Fourteen Discs: July 20, 1963"
500,"Edward HICKS - The Peaceable Kingdom"

